2012-03-22 09:31:53,470 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:, effectiveDateSt:, createDateSt:, elapsedMilliseconds:4287};
2012-03-22 09:31:57,813 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {method:SchemeSearchAll, name:, code:, status:, principleCode:, effectiveDateSt:, effectiveTimeSt:, elapsedMilliseconds:137};
2012-03-22 09:40:17,796 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {method:SchemeSearchAll, name:, code:, status:, principleCode:, effectiveDateSt:22/03/2012, effectiveTimeSt:, elapsedMilliseconds:1427};
2012-03-22 11:38:15,941 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.4648117 seconds.;
2012-03-22 11:41:35,855 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.5050483 seconds.;
2012-03-22 11:41:44,126 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013472 seconds.;
2012-03-22 11:41:44,142 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002377 seconds.;
2012-03-22 11:41:44,189 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002588 seconds.;
2012-03-22 11:41:44,675 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005313 seconds.;
2012-03-22 11:41:44,690 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0053776 seconds.;
2012-03-22 11:41:44,769 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0024637 seconds.;
2012-03-22 11:41:44,784 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005157 seconds.;
2012-03-22 11:42:41,918 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0056509 seconds.;
2012-03-22 11:42:44,253 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.00268 seconds.;
2012-03-22 11:42:44,691 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004642 seconds.;
2012-03-22 11:42:44,722 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0055681 seconds.;
2012-03-22 11:42:44,738 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002244 seconds.;
2012-03-22 11:42:44,926 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003304 seconds.;
2012-03-22 11:42:44,973 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.002421 seconds.;
2012-03-22 11:42:44,989 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002683 seconds.;
2012-03-22 11:49:27,867 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.ViewResult execution - elapsed time: 1.835542 seconds.;
2012-03-22 11:49:35,919 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0013397 seconds.;
2012-03-22 11:49:35,966 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0001617 seconds.;
2012-03-22 11:49:35,966 | [24] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0001617 seconds.;
2012-03-22 11:49:36,434 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0004966 seconds.;
2012-03-22 11:49:36,543 | [22] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0061223 seconds.;
2012-03-22 11:49:36,606 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0006182 seconds.;
2012-03-22 11:49:36,606 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action System.Web.Mvc.JsonResult execution - elapsed time: 0.0014107 seconds.;
2012-03-22 11:50:12,778 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result Action Index execution - elapsed time: 2.1029085 seconds.;
2012-03-22 11:51:15,588 | [25] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:, effectiveDateSt:22/03/2012, createDateSt:22/03/2012, elapsedMilliseconds:395};
2012-03-22 11:52:03,401 | [25] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:, effectiveDateSt:22/03/2012, createDateSt:22/03/2012, elapsedMilliseconds:6123};
2012-03-22 11:52:03,417 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0010716 seconds.;
2012-03-22 11:54:15,181 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:, effectiveDateSt:22/03/2012, createDateSt:22/03/2012, elapsedMilliseconds:85};
2012-03-22 11:54:15,181 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002642 seconds.;
2012-03-22 11:55:06,580 | [25] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0044027 seconds.;
2012-03-22 11:55:33,645 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0022859 seconds.;
2012-03-22 11:58:35,709 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.7887499 seconds.;
2012-03-22 11:59:16,587 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.9325319 seconds.;
2012-03-22 11:59:24,546 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0017301 seconds.;
2012-03-22 11:59:24,562 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003398 seconds.;
2012-03-22 11:59:24,593 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006211 seconds.;
2012-03-22 11:59:25,157 | [22] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0009045 seconds.;
2012-03-22 11:59:25,188 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008896 seconds.;
2012-03-22 11:59:25,251 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0097867 seconds.;
2012-03-22 11:59:25,251 | [24] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025797 seconds.;
2012-03-22 12:01:42,606 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.5867714 seconds.;
2012-03-22 12:01:50,700 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014289 seconds.;
2012-03-22 12:01:50,731 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006145 seconds.;
2012-03-22 12:01:50,731 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003885 seconds.;
2012-03-22 12:01:51,247 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006381 seconds.;
2012-03-22 12:01:51,247 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006381 seconds.;
2012-03-22 12:01:51,278 | [24] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0018492 seconds.;
2012-03-22 12:01:51,403 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004033 seconds.;
2012-03-22 12:01:54,029 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0054131 seconds.;
2012-03-22 12:01:55,357 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.003046 seconds.;
2012-03-22 12:01:55,810 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0007438 seconds.;
2012-03-22 12:01:55,826 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004778 seconds.;
2012-03-22 12:01:55,841 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006812 seconds.;
2012-03-22 12:01:56,060 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025161 seconds.;
2012-03-22 12:01:56,091 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004019 seconds.;
2012-03-22 12:01:56,107 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004061 seconds.;
2012-03-22 12:01:58,576 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0090172 seconds.;
2012-03-22 12:01:59,263 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025121 seconds.;
2012-03-22 12:01:59,623 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000874 seconds.;
2012-03-22 12:01:59,654 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0007934 seconds.;
2012-03-22 12:01:59,670 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004465 seconds.;
2012-03-22 12:01:59,904 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0007002 seconds.;
2012-03-22 12:01:59,920 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025885 seconds.;
2012-03-22 12:01:59,920 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004049 seconds.;
2012-03-22 12:02:24,781 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.7968349 seconds.;
2012-03-22 12:02:31,001 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0040505 seconds.;
2012-03-22 12:02:32,907 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0013121 seconds.;
2012-03-22 12:02:32,938 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002485 seconds.;
2012-03-22 12:02:32,954 | [24] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002576 seconds.;
2012-03-22 12:02:33,298 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0061223 seconds.;
2012-03-22 12:02:33,423 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0024758 seconds.;
2012-03-22 12:02:33,454 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004991 seconds.;
2012-03-22 12:02:33,579 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0017147 seconds.;
2012-03-22 12:02:33,610 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003069 seconds.;
2012-03-22 12:02:33,626 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000242 seconds.;
2012-03-22 12:02:33,657 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002477 seconds.;
2012-03-22 12:02:33,720 | [23] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0024212 seconds.;
2012-03-22 12:02:33,720 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006497 seconds.;
2012-03-22 12:02:33,813 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002563 seconds.;
2012-03-22 12:02:37,720 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0039985 seconds.;
2012-03-22 12:02:38,533 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0023662 seconds.;
2012-03-22 12:02:39,001 | [21] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006677 seconds.;
