2012-03-28 09:51:30,054 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.2430577 seconds.;
2012-03-28 09:51:41,773 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0139434 seconds.;
2012-03-28 09:51:42,101 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002366 seconds.;
2012-03-28 09:51:42,398 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003752 seconds.;
2012-03-28 09:51:43,179 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:28/03/2012, createDateSt:28/03/2012, elapsedMilliseconds:852};
2012-03-28 09:51:43,179 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008848 seconds.;
2012-03-28 09:51:46,335 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005687 seconds.;
2012-03-28 09:51:46,335 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005687 seconds.;
2012-03-28 09:51:46,351 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016733 seconds.;
2012-03-28 09:51:46,523 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002359 seconds.;
2012-03-28 09:51:47,820 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:325};
2012-03-28 09:51:47,820 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.002496 seconds.;
2012-03-28 12:01:17,188 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.8781342 seconds.;
2012-03-28 12:01:25,988 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0015607 seconds.;
2012-03-28 12:01:26,096 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004985 seconds.;
2012-03-28 12:01:26,220 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002463 seconds.;
2012-03-28 12:01:26,978 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004895 seconds.;
2012-03-28 12:01:27,024 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0056837 seconds.;
2012-03-28 12:01:27,024 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0015036 seconds.;
2012-03-28 12:01:27,086 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.00052 seconds.;
2012-03-28 13:26:33,928 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.8075782 seconds.;
2012-03-28 13:26:43,163 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016053 seconds.;
2012-03-28 13:26:43,163 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0032121 seconds.;
2012-03-28 13:26:43,163 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003029 seconds.;
2012-03-28 13:26:43,908 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0056995 seconds.;
2012-03-28 13:26:43,970 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016736 seconds.;
2012-03-28 13:26:43,970 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005305 seconds.;
2012-03-28 13:26:44,017 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002768 seconds.;
2012-03-28 13:27:19,077 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:714};
2012-03-28 13:27:19,077 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0041728 seconds.;
2012-03-28 13:27:22,352 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0009661 seconds.;
2012-03-28 13:27:30,267 | [4] | INFO  | DcmWeb.Controllers.DcmController | {method:SaveConfigurationPrinciple, Id:0, Code:CONF-10, success:True, message:Save Configuration Principle Completed.};
2012-03-28 13:27:30,267 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005315 seconds.;
2012-03-28 13:27:30,515 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:123};
2012-03-28 13:27:30,515 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0033108 seconds.;
2012-03-28 13:27:35,979 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:28/03/2012, createDateSt:, elapsedMilliseconds:82};
2012-03-28 13:27:35,979 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003707 seconds.;
2012-03-28 13:27:44,903 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000221 seconds.;
2012-03-28 13:31:01,554 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002514 seconds.;
2012-03-28 13:31:08,838 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002544 seconds.;
2012-03-28 13:31:12,526 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:28/03/2012, createDateSt:, elapsedMilliseconds:89};
2012-03-28 13:31:12,526 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003712 seconds.;
2012-03-28 13:31:13,942 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002057 seconds.;
2012-03-28 13:31:28,477 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0051177 seconds.;
2012-03-28 13:31:30,827 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0022844 seconds.;
2012-03-28 13:31:31,574 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004876 seconds.;
2012-03-28 13:31:31,683 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004007 seconds.;
2012-03-28 13:31:31,714 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002528 seconds.;
2012-03-28 13:31:31,948 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0040364 seconds.;
2012-03-28 13:31:31,979 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006613 seconds.;
2012-03-28 13:31:32,010 | [19] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002708 seconds.;
2012-03-28 13:31:48,257 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002177 seconds.;
2012-03-28 13:31:56,458 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002039 seconds.;
2012-03-28 13:32:01,065 | [4] | INFO  | DcmWeb.Controllers.DcmController | {method:SaveProfilePrinciple, Id:0, Code:PROF-5, success:True, message:Save Profile Principle Completed.};
