2012-05-08 10:27:57,868 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:28:57,883 | [11] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:00,456 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.7719031 seconds.;
2012-05-08 10:29:03,481 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:04,494 | [8] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:04,681 | [11] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:04,853 | [9] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:05,009 | [13] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:05,180 | [12] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:19,744 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0201342 seconds.;
2012-05-08 10:29:20,835 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004135 seconds.;
2012-05-08 10:29:20,929 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0049416 seconds.;
2012-05-08 10:29:20,944 | [8] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0049416 seconds.;
2012-05-08 10:29:24,546 | [13] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:29:29,006 | [11] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0006503 seconds.;
2012-05-08 10:29:29,006 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003688 seconds.;
2012-05-08 10:29:29,240 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004238 seconds.;
2012-05-08 10:31:51,927 | [12] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 10:31:58,164 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:4389};
2012-05-08 10:31:59,614 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0061238 seconds.;
2012-05-08 11:47:13,879 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:17,558 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.9518732 seconds.;
2012-05-08 11:47:20,042 | [15] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:20,880 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:20,989 | [18] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:21,082 | [17] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:21,160 | [16] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:21,253 | [20] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:27,943 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0018465 seconds.;
2012-05-08 11:47:28,114 | [20] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:47:28,766 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0066586 seconds.;
2012-05-08 11:47:28,890 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004201 seconds.;
2012-05-08 11:47:28,905 | [20] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004246 seconds.;
2012-05-08 11:47:28,952 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014376 seconds.;
2012-05-08 11:47:33,143 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003535 seconds.;
2012-05-08 11:47:33,143 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003839 seconds.;
2012-05-08 11:48:37,951 | [18] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:48:42,266 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:2215};
2012-05-08 11:48:42,328 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0048714 seconds.;
2012-05-08 11:49:48,145 | [18] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:49:51,700 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.8211148 seconds.;
2012-05-08 11:49:58,552 | [16] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:49:59,829 | [17] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:01,994 | [18] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:02,820 | [20] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:03,505 | [4] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:03,910 | [19] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:09,331 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016046 seconds.;
2012-05-08 11:50:14,502 | [15] | INFO  | DcmWeb.Controllers.DcmController | test mongo;
2012-05-08 11:50:14,751 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005607 seconds.;
2012-05-08 11:50:14,767 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0068555 seconds.;
2012-05-08 11:50:14,860 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004414 seconds.;
