2012-06-12 12:15:40,461 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-12 12:15:40,461 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-12 12:16:50,571 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":10164};
2012-06-12 12:17:20,555 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL"};
2012-06-12 12:17:26,383 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchDeployManagementBy","SchmCode":"","SchmName":"","DeployStatus":"ALL","EffectiveDateSt":"","GenNo":"-1","DeviceSN":""};
2012-06-12 15:13:02,433 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-12 15:13:02,433 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-12 15:13:09,230 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":7089};
2012-06-12 16:33:52,183 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-12 16:33:52,823 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-06-12 16:34:28,325 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":2768};
2012-06-12 16:34:32,700 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SchemeSearchAll","Name":"","Code":"","Status":"ALL","PrincipleCode":"","EffectiveDateSt":"","EffectiveTimeSt":"","ElapsedMilliseconds":1321};
2012-06-12 16:34:46,029 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveConfigurationPrinciple","Id":0,"Code":"CONF-2","Success":true,"Message":"Save Configuration Principle Completed."};
2012-06-12 16:34:47,513 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1311};
2012-06-12 16:35:05,045 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveScheme","Success":true,"Message":"Save Scheme Completed."};
