2012-07-17 10:36:07,020 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T10:35:57.7412676+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":5282,"end":"2012-07-17T10:36:03.8964906+07:00","duration":"00:00:06.1552230"};
2012-07-17 10:37:14,987 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T10:37:10.9914836+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1655,"end":"2012-07-17T10:37:12.6298141+07:00","duration":"00:00:01.6383305"};
2012-07-17 10:38:12,907 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T10:38:08.7876743+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":1657,"end":"2012-07-17T10:38:10.4602919+07:00","duration":"00:00:01.6726176"};
2012-07-17 13:48:31,620 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T13:47:11.9603197+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":74455,"end":"2012-07-17T13:48:27.8017957+07:00","duration":"00:01:15.8414760"};
2012-07-17 13:54:01,981 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T13:52:24.6934097+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":85700,"end":"2012-07-17T13:53:51.0554357+07:00","duration":"00:01:26.3620260"};
2012-07-17 13:54:05,285 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T13:53:55.9961977+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":9289,"end":"2012-07-17T13:54:05.2698677+07:00","duration":"00:00:09.2736700"};
2012-07-17 13:56:10,409 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T13:55:25.9741757+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":44178,"end":"2012-07-17T13:56:10.3942757+07:00","duration":"00:00:44.4201000"};
2012-07-17 13:58:34,455 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T13:57:48.4146297+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":45948,"end":"2012-07-17T13:58:34.4245017+07:00","duration":"00:00:46.0098720"};
2012-07-17 14:00:30,197 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T13:58:57.7411577+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":84830,"end":"2012-07-17T14:00:23.2615397+07:00","duration":"00:01:25.5203820"};
2012-07-17 14:01:41,970 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:00:33.2521657+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":68584,"end":"2012-07-17T14:01:41.9396677+07:00","duration":"00:01:08.6875020"};
2012-07-17 14:01:42,157 | [25] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:01:02.3668137+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":39081,"end":"2012-07-17T14:01:42.1422857+07:00","duration":"00:00:39.7754720"};
2012-07-17 14:05:41,356 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:04:54.7696597+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":37430,"end":"2012-07-17T14:05:38.7845237+07:00","duration":"00:00:44.0148640"};
2012-07-17 14:06:06,605 | [30] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:05:46.2502177+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":17331,"end":"2012-07-17T14:06:04.1273597+07:00","duration":"00:00:17.8771420"};
2012-07-17 14:08:28,765 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:07:42.2412297+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":44055,"end":"2012-07-17T14:08:26.2716797+07:00","duration":"00:00:44.0304500"};
2012-07-17 14:10:23,135 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:09:54.8936757+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":21163,"end":"2012-07-17T14:10:19.5663137+07:00","duration":"00:00:24.6726380"};
2012-07-17 14:16:18,166 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:16:01.8592069+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":9851,"end":"2012-07-17T14:16:13.9280557+07:00","duration":"00:00:12.0688488"};
2012-07-17 14:18:05,383 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:17:44.4058877+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":18492,"end":"2012-07-17T14:18:02.7634853+07:00","duration":"00:00:18.3575976"};
2012-07-17 14:20:14,668 | [24] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:19:47.5641665+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":23153,"end":"2012-07-17T14:20:11.6106876+07:00","duration":"00:00:24.0465211"};
2012-07-17 14:20:48,650 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:20:25.2872435+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":20949,"end":"2012-07-17T14:20:46.1047934+07:00","duration":"00:00:20.8175499"};
2012-07-17 14:21:03,910 | [28] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:20:55.6209441+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":5785,"end":"2012-07-17T14:21:01.380311+07:00","duration":"00:00:05.7593669"};
2012-07-17 14:23:08,458 | [28] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:21:53.1835653+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":73015,"end":"2012-07-17T14:23:05.9596085+07:00","duration":"00:01:12.7760432"};
2012-07-17 14:24:11,051 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:24:02.6063196+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":5873,"end":"2012-07-17T14:24:08.443306+07:00","duration":"00:00:05.8369864"};
2012-07-17 14:25:20,612 | [24] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:25:08.6908758+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":8914,"end":"2012-07-17T14:25:17.6711307+07:00","duration":"00:00:08.9802549"};
2012-07-17 14:29:10,939 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:29:02.9089971+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":5413,"end":"2012-07-17T14:29:08.3718558+07:00","duration":"00:00:05.4628587"};
2012-07-17 14:29:51,667 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:29:39.6880937+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":9354,"end":"2012-07-17T14:29:49.0037377+07:00","duration":"00:00:09.3156440"};
2012-07-17 14:37:12,217 | [22] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:37:03.9118384+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":5663,"end":"2012-07-17T14:37:09.6620023+07:00","duration":"00:00:05.7501639"};
2012-07-17 14:37:33,192 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:37:26.8657447+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":3706,"end":"2012-07-17T14:37:30.5745225+07:00","duration":"00:00:03.7087778"};
2012-07-17 14:38:09,018 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:37:50.8325525+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":15149,"end":"2012-07-17T14:38:06.0416581+07:00","duration":"00:00:15.2091056"};
2012-07-17 14:38:20,175 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-17T14:38:14.8772758+07:00","method":"SearchAll","type":"ALL","code":"","name":"","status":"ALL","effectiveDateSt":"","createDateSt":"","elapsedMilliseconds":2704,"end":"2012-07-17T14:38:17.5731521+07:00","duration":"00:00:02.6958763"};
