2012-07-18 09:35:45,178 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T09:35:17.381565+07:00","method":"DeployManagementSearchPaging","schmCode":"","schmName":"","deployStatus":"ALL","effDate":"","genNo":"-1","deviceSN":"","end":"2012-07-18T09:35:42.2407809+07:00","duration":"00:00:24.8592159"};
2012-07-18 09:35:53,100 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T09:35:49.3032357+07:00","method":"DeployManagementSearchPaging","schmCode":"","schmName":"","deployStatus":"ALL","effDate":"","genNo":"-1","deviceSN":"","end":"2012-07-18T09:35:50.9751+07:00","duration":"00:00:01.6718643"};
2012-07-18 09:36:09,459 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T09:36:02.2719027+07:00","method":"GenerationManageDeviceSearchPaging","type":"IceCube","generationNumber":-1,"hardwareVer":"ALL","micFWVer":"ALL","obdFWVer":"ALL","deviceSN":"","effectiveDate":"","end":"2012-07-18T09:36:06.756249+07:00","duration":"00:00:04.4843463"};
2012-07-18 09:37:25,411 | [9] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T09:37:20.5839015+07:00","method":"GenerationManageDeviceSearchPaging","type":"IceCube","generationNumber":-1,"hardwareVer":"ALL","micFWVer":"ALL","obdFWVer":"ALL","deviceSN":"","effectiveDate":"","end":"2012-07-18T09:37:23.0370108+07:00","duration":"00:00:02.4531093"};
2012-07-18 10:04:22,666 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:04:19.4474143+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:04:20.8067806+07:00","duration":"00:00:01.3593663"};
2012-07-18 10:05:15,025 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:13.400194+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:05:13.7595667+07:00","duration":"00:00:00.3593727"};
2012-07-18 10:05:19,431 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:17.6345419+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:05:18.1345387+07:00","duration":"00:00:00.4999968"};
2012-07-18 10:05:22,431 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:20.7751468+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:05:21.1188946+07:00","duration":"00:00:00.3437478"};
2012-07-18 10:05:30,462 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:28.7750956+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deploying","end":"2012-07-18T10:05:29.1500932+07:00","duration":"00:00:00.3749976"};
2012-07-18 10:05:37,806 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:36.212548+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T10:05:36.525046+07:00","duration":"00:00:00.3124980"};
2012-07-18 10:05:44,884 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:43.1500036+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:05:43.5250012+07:00","duration":"00:00:00.3749976"};
2012-07-18 10:05:50,399 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:48.6030937+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:05:49.0405909+07:00","duration":"00:00:00.4374972"};
2012-07-18 10:05:56,868 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:05:55.1655517+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deploying","end":"2012-07-18T10:05:55.5717991+07:00","duration":"00:00:00.4062474"};
2012-07-18 10:06:02,493 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:06:00.6342667+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deploying","end":"2012-07-18T10:06:01.1186386+07:00","duration":"00:00:00.4843719"};
2012-07-18 10:06:07,806 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:06:06.212356+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T10:06:06.5092291+07:00","duration":"00:00:00.2968731"};
2012-07-18 10:06:14,665 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:06:12.774814+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T10:06:13.2748108+07:00","duration":"00:00:00.4999968"};
2012-07-18 10:06:27,352 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:06:25.618546+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"Deployed","end":"2012-07-18T10:06:26.009171+07:00","duration":"00:00:00.3906250"};
2012-07-18 10:07:21,571 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:07:19.915421+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:07:20.274796+07:00","duration":"00:00:00.3593750"};
2012-07-18 10:07:30,087 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:07:28.259171+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:07:28.774796+07:00","duration":"00:00:00.5156250"};
2012-07-18 10:10:00,681 | [21] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:09:58.946671+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:09:59.352921+07:00","duration":"00:00:00.4062500"};
2012-07-18 10:10:36,946 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:10:35.227921+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:10:35.602921+07:00","duration":"00:00:00.3750000"};
2012-07-18 10:12:14,477 | [19] | DEBUG | DcmWeb.Controllers.DcmController | {"start":"2012-07-18T10:12:12.649796+07:00","method":"SearchQuickDeployOrderBy","type":"ALL","deployStatus":"ALL","end":"2012-07-18T10:12:13.134171+07:00","duration":"00:00:00.4843750"};
