2012-03-29 10:18:09,889 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.4428804 seconds.;
2012-03-29 10:18:25,271 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0350228 seconds.;
2012-03-29 10:18:25,271 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0350228 seconds.;
2012-03-29 10:18:25,287 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001771 seconds.;
2012-03-29 10:18:26,130 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0047286 seconds.;
2012-03-29 10:18:26,301 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016082 seconds.;
2012-03-29 10:18:26,317 | [17] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004315 seconds.;
2012-03-29 10:18:26,317 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0001579 seconds.;
2012-03-29 10:18:47,456 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:881};
2012-03-29 10:18:47,456 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0025156 seconds.;
2012-03-29 10:23:19,909 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005565 seconds.;
2012-03-29 10:23:28,847 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:76};
2012-03-29 10:23:28,847 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0012448 seconds.;
2012-03-29 10:23:30,319 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002139 seconds.;
2012-03-29 10:23:38,793 | [15] | INFO  | DcmWeb.Controllers.DcmController | {method:SaveConfigurationPrinciple, Id:0, Code:CONF-2, success:True, message:Save Configuration Principle Completed.};
2012-03-29 10:23:38,809 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0007413 seconds.;
2012-03-29 10:23:39,026 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {method:SearchAll, type:ALL, code:, name:, status:ALL, effectiveDateSt:, createDateSt:, elapsedMilliseconds:85};
2012-03-29 10:23:39,026 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.001172 seconds.;
2012-03-29 10:23:44,851 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002277 seconds.;
2012-03-29 10:23:46,989 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003522 seconds.;
2012-03-29 10:23:47,329 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004274 seconds.;
2012-03-29 10:23:48,615 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0005454 seconds.;
2012-03-29 10:23:54,471 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003142 seconds.;
2012-03-29 10:24:09,793 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {method:SchemeSearchAll, name:, code:, status:ALL, principleCode:, effectiveDateSt:, effectiveTimeSt:, elapsedMilliseconds:210};
2012-03-29 10:24:09,793 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.001227 seconds.;
2012-03-29 10:24:13,449 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0035385 seconds.;
2012-03-29 10:24:17,245 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0026364 seconds.;
2012-03-29 10:24:18,592 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0043503 seconds.;
2012-03-29 10:24:22,403 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 1.27E-05 seconds.;
2012-03-29 10:24:22,946 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0019628 seconds.;
2012-03-29 10:24:23,085 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0016696 seconds.;
2012-03-29 10:25:29,902 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0024995 seconds.;
2012-03-29 10:25:33,852 | [15] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0003931 seconds.;
2012-03-29 10:25:33,883 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002483 seconds.;
2012-03-29 10:25:33,883 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000118 seconds.;
2012-03-29 10:25:34,116 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0021053 seconds.;
2012-03-29 10:25:39,058 | [12] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0004218 seconds.;
2012-03-29 10:25:51,668 | [14] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002005 seconds.;
2012-03-29 10:25:51,963 | [13] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008674 seconds.;
2012-03-29 10:33:27,491 | [6] | DEBUG | DcmWeb.Services.DcmService | {method:DoWork, name:Bon, elapsedMilliseconds:1999};
2012-03-29 10:33:41,160 | [6] | INFO  | DcmWeb.Services.DcmService | {method:DeployedDevice, imei:111111111111113, deployRequestId:3};
2012-03-29 11:25:51,621 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 3.4336986 seconds.;
2012-03-29 11:28:22,759 | [10] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0049697 seconds.;
2012-03-29 11:34:42,199 | [4] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 2.9725667 seconds.;
2012-03-29 11:34:49,983 | [18] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0014204 seconds.;
2012-03-29 11:34:49,983 | [9] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0002177 seconds.;
2012-03-29 11:34:50,139 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.000373 seconds.;
2012-03-29 11:34:51,028 | [16] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008296 seconds.;
2012-03-29 11:34:51,028 | [5] | INFO  | DcmWeb.Filters.ProfileResultAttribute | Result execution - elapsed time: 0.0008296 seconds.;
