2012-05-09 14:27:19,796 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:27:19,811 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:27:26,792 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":3886};
2012-05-09 14:27:37,504 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SchemeSearchAll","Name":"","Code":"","Status":"ALL","PrincipleCode":"","EffectiveDateSt":"","EffectiveTimeSt":"","ElapsedMilliseconds":1486};
2012-05-09 14:31:06,571 | [10] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-05-09 14:46:40,919 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:46:40,934 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:46:54,364 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1130};
2012-05-09 14:47:57,765 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:47:57,765 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:48:52,639 | [12] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":19674};
2012-05-09 14:50:53,803 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:50:53,818 | [18] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:51:30,328 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1044};
2012-05-09 14:52:56,434 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:52:56,466 | [8] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:53:10,801 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":9450};
2012-05-09 14:55:03,470 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":53351};
2012-05-09 14:56:21,034 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:56:21,034 | [14] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 14:58:38,188 | [13] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1139};
2012-05-09 15:06:36,457 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:06:36,472 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchGenerationSummary","Type":"IceCube"};
2012-05-09 15:07:28,379 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":1038};
2012-05-09 15:07:33,720 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SchemeSearchAll","Name":"","Code":"","Status":"ALL","PrincipleCode":"","EffectiveDateSt":"","EffectiveTimeSt":"","ElapsedMilliseconds":453};
2012-05-09 15:07:39,232 | [4] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-05-09 15:07:52,084 | [16] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchDeployManagementBy","SchmCode":"","SchmName":"","DeployStatus":"ALL","EffectiveDateSt":"","GenNo":"-1","DeviceSN":""};
2012-05-09 15:08:12,791 | [17] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"GenerationManageDeviceSearchAll","Type":"IceCube","GenerationNumber":-1,"HardwareVer":"ALL","MicFWVer":"ALL","ObdFWVer":"ALL","DeviceSN":"","EffectiveDateSt":""};
2012-05-09 15:08:18,944 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":286};
2012-05-09 15:08:47,833 | [11] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveConfigurationPrinciple","Id":0,"Code":"CONF-2","Success":true,"Message":"Save Configuration Principle Completed."};
2012-05-09 15:08:48,286 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SearchAll","Type":"ALL","Code":"","Name":"","Status":"ALL","EffectiveDateSt":"","CreateDateSt":"","ElapsedMilliseconds":309};
2012-05-09 15:08:59,686 | [15] | DEBUG | DcmWeb.Controllers.DcmController | {"Method":"SaveProfilePrinciple","Id":0,"Code":"PROF-2","Success":true,"Message":"Save Profile Principle Completed."};
